ticket_id,created_at,channel,category,subcategory,priority,assigned_agent_id,first_response_at,resolved_at,status,requester_type,sla_policy_id,first_response_mins,resolution_mins,sla_first_response_met,sla_resolution_met
T000546,06-01-2026 19:21,Chat,Access & Login,SSO Setup,P4,A009,07-01-2026 04:00,09-01-2026 15:35,Resolved,Customer,SLA_P4,519,4094,FALSE,TRUE
T000547,27-12-2025 13:34,Email,Bug,Data Mismatch,P4,A010,27-12-2025 17:41,28-12-2025 22:27,Resolved,Customer,SLA_P4,247,1973,TRUE,TRUE
T000548,16-12-2025 18:20,Chat,Bug,Data Mismatch,P3,A010,16-12-2025 20:05,18-12-2025 18:11,Resolved,Partner,SLA_P3,105,2871,TRUE,TRUE
T000549,12-02-2026 08:47,Chat,Bug,UI Bug,P3,A007,12-02-2026 10:56,12-02-2026 23:46,Resolved,Partner,SLA_P3,129,899,TRUE,TRUE
T000550,16-01-2026 21:43,Chat,Access & Login,SSO Setup,P3,A015,16-01-2026 23:27,17-01-2026 12:42,Resolved,Customer,SLA_P3,104,899,TRUE,TRUE
T000551,15-12-2025 08:43,Email,Billing,Refund,P4,A015,15-12-2025 17:27,19-12-2025 07:46,Resolved,Customer,SLA_P4,524,5703,FALSE,TRUE
T000552,24-12-2025 18:20,Chat,How-To,Report Setup,P4,A013,24-12-2025 23:42,28-12-2025 19:56,Resolved,Customer,SLA_P4,322,5856,TRUE,FALSE
T000553,16-12-2025 00:13,Email,Bug,Integration Error,P4,A013,16-12-2025 04:54,,Pending,Customer,SLA_P4,281,,TRUE,FALSE
T000554,12-01-2026 08:35,Chat,Bug,Integration Error,P3,A007,12-01-2026 11:15,13-01-2026 03:12,Resolved,Customer,SLA_P3,160,1117,TRUE,TRUE
T000555,18-01-2026 17:46,Web,Access & Login,Password Reset,P3,A004,18-01-2026 21:53,20-01-2026 04:56,Resolved,Customer,SLA_P3,247,2110,FALSE,TRUE
T000556,10-01-2026 23:10,Chat,Bug,UI Bug,P3,A013,11-01-2026 02:08,12-01-2026 14:50,Resolved,Customer,SLA_P3,178,2380,TRUE,TRUE
T000557,25-12-2025 17:39,Chat,How-To,Feature Guidance,P4,A012,25-12-2025 21:41,,Open,Customer,SLA_P4,242,,TRUE,FALSE
T000558,02-02-2026 07:53,Web,Billing,Invoice Request,P3,A005,02-02-2026 10:04,04-02-2026 09:43,Resolved,Customer,SLA_P3,131,2990,TRUE,FALSE
T000559,07-01-2026 16:34,Email,Access & Login,MFA Issue,P4,A011,07-01-2026 22:33,09-01-2026 13:57,Resolved,Internal,SLA_P4,359,2723,TRUE,TRUE
T000560,15-01-2026 04:10,Chat,Billing,Refund,P3,A002,15-01-2026 06:22,16-01-2026 16:42,Resolved,Customer,SLA_P3,132,2192,TRUE,TRUE
T000561,06-02-2026 04:09,Email,Billing,Invoice Request,P3,A007,06-02-2026 07:40,06-02-2026 18:25,Resolved,Customer,SLA_P3,211,856,TRUE,TRUE
T000562,29-12-2025 14:09,Chat,Billing,Refund,P4,A005,30-12-2025 00:57,01-01-2026 07:38,Resolved,Customer,SLA_P4,648,3929,FALSE,TRUE
T000563,07-01-2026 06:00,Chat,How-To,Report Setup,P3,A013,07-01-2026 10:04,08-01-2026 17:36,Resolved,Customer,SLA_P3,244,2136,FALSE,TRUE
T000564,03-01-2026 08:49,Email,Billing,Invoice Request,P4,A004,03-01-2026 12:04,06-01-2026 04:33,Resolved,Customer,SLA_P4,195,4064,TRUE,TRUE
T000565,12-01-2026 20:30,Phone,Billing,Payment Failed,P4,A003,12-01-2026 21:25,13-01-2026 03:57,Resolved,Customer,SLA_P4,55,447,TRUE,TRUE
T000566,14-01-2026 18:04,Chat,Access & Login,Password Reset,P3,A001,14-01-2026 21:39,15-01-2026 10:12,Resolved,Customer,SLA_P3,215,968,TRUE,TRUE
T000567,07-01-2026 05:50,Chat,Outage,Service Down,P2,A007,07-01-2026 06:32,07-01-2026 16:16,Resolved,Customer,SLA_P2,42,626,TRUE,TRUE
T000568,23-01-2026 15:54,Email,Bug,Data Mismatch,P4,A006,23-01-2026 21:45,26-01-2026 16:00,Resolved,Customer,SLA_P4,351,4326,TRUE,TRUE
T000569,01-01-2026 04:50,Email,Access & Login,SSO Setup,P4,A006,01-01-2026 10:31,04-01-2026 21:07,Resolved,Customer,SLA_P4,341,5297,TRUE,TRUE
T000570,06-01-2026 22:07,Chat,Bug,UI Bug,P4,A001,07-01-2026 01:57,08-01-2026 22:22,Resolved,Partner,SLA_P4,230,2895,TRUE,TRUE
T000571,19-01-2026 17:03,Email,Billing,Payment Failed,P3,A015,19-01-2026 18:21,20-01-2026 19:50,Resolved,Customer,SLA_P3,78,1607,TRUE,TRUE
T000572,19-12-2025 19:20,Chat,Access & Login,MFA Issue,P3,A009,19-12-2025 20:32,21-12-2025 02:33,Resolved,Customer,SLA_P3,72,1873,TRUE,TRUE
T000573,29-12-2025 14:55,Email,Bug,Data Mismatch,P2,A010,29-12-2025 15:36,30-12-2025 10:05,Resolved,Customer,SLA_P2,41,1150,TRUE,FALSE
T000574,08-01-2026 14:33,Chat,How-To,Feature Guidance,P4,A002,08-01-2026 15:59,11-01-2026 17:18,Resolved,Customer,SLA_P4,86,4485,TRUE,TRUE
T000575,07-02-2026 15:21,Email,Bug,Data Mismatch,P4,A003,08-02-2026 01:52,10-02-2026 16:21,Resolved,Customer,SLA_P4,631,4380,FALSE,TRUE
T000576,31-12-2025 01:02,Email,Billing,Payment Failed,P3,A015,31-12-2025 04:38,02-01-2026 02:26,Resolved,Customer,SLA_P3,216,2964,TRUE,FALSE
T000577,12-01-2026 06:27,Chat,Access & Login,SSO Setup,P3,A001,12-01-2026 08:29,13-01-2026 18:31,Resolved,Internal,SLA_P3,122,2164,TRUE,TRUE
T000578,01-02-2026 19:47,Email,Access & Login,MFA Issue,P4,A012,01-02-2026 23:59,04-02-2026 14:56,Resolved,Customer,SLA_P4,252,4029,TRUE,TRUE
T000579,26-12-2025 19:37,Chat,Outage,Latency,P3,A013,26-12-2025 22:02,28-12-2025 06:54,Resolved,Customer,SLA_P3,145,2117,TRUE,TRUE
T000580,31-01-2026 07:49,Email,Access & Login,MFA Issue,P2,A013,31-01-2026 08:41,31-01-2026 19:25,Resolved,Customer,SLA_P2,52,696,TRUE,TRUE
T000581,04-02-2026 02:21,Email,Access & Login,MFA Issue,P4,A014,04-02-2026 10:23,06-02-2026 13:43,Resolved,Internal,SLA_P4,482,3562,FALSE,TRUE
T000582,17-01-2026 07:56,Email,Billing,Refund,P4,A015,17-01-2026 17:04,21-01-2026 15:12,Resolved,Partner,SLA_P4,548,6196,FALSE,FALSE
T000583,24-12-2025 13:07,Chat,How-To,Feature Guidance,P4,A005,24-12-2025 18:27,,Open,Customer,SLA_P4,320,,TRUE,FALSE
T000584,27-01-2026 11:37,Email,Outage,Service Down,P2,A015,27-01-2026 12:43,27-01-2026 23:12,Resolved,Customer,SLA_P2,66,695,FALSE,TRUE
T000585,21-01-2026 09:56,Email,Bug,Integration Error,P4,A008,21-01-2026 18:17,27-01-2026 00:58,Resolved,Customer,SLA_P4,501,8102,FALSE,FALSE
T000586,21-12-2025 08:24,Chat,Bug,Data Mismatch,P3,A006,21-12-2025 10:17,22-12-2025 04:42,Resolved,Customer,SLA_P3,113,1218,TRUE,TRUE
T000587,18-12-2025 02:16,Email,Billing,Payment Failed,P4,A007,18-12-2025 05:17,22-12-2025 07:25,Resolved,Partner,SLA_P4,181,6069,TRUE,FALSE
T000588,16-12-2025 08:33,Chat,How-To,Feature Guidance,P4,A004,16-12-2025 14:34,18-12-2025 22:43,Resolved,Customer,SLA_P4,361,3730,TRUE,TRUE
T000589,17-01-2026 19:05,Phone,Access & Login,SSO Setup,P3,A005,17-01-2026 20:39,19-01-2026 13:58,Resolved,Customer,SLA_P3,94,2573,TRUE,TRUE
T000590,29-01-2026 00:38,Web,Outage,Partial Degradation,P2,A013,29-01-2026 01:39,29-01-2026 11:51,Resolved,Customer,SLA_P2,61,673,FALSE,TRUE
T000591,30-01-2026 00:03,Email,Bug,Integration Error,P2,A009,30-01-2026 00:22,30-01-2026 02:37,Resolved,Customer,SLA_P2,19,154,TRUE,TRUE
T000592,14-01-2026 11:07,Email,Access & Login,SSO Setup,P3,A006,14-01-2026 14:06,,Open,Customer,SLA_P3,179,,TRUE,FALSE
T000593,05-02-2026 11:17,Phone,Bug,Data Mismatch,P4,A005,05-02-2026 14:38,06-02-2026 03:25,Resolved,Customer,SLA_P4,201,968,TRUE,TRUE
T000594,30-01-2026 12:03,Web,How-To,Feature Guidance,P3,A015,30-01-2026 16:12,,Open,Customer,SLA_P3,249,,FALSE,FALSE
T000595,12-01-2026 10:27,Chat,Billing,Payment Failed,P4,A015,12-01-2026 15:15,13-01-2026 16:29,Resolved,Customer,SLA_P4,288,1802,TRUE,TRUE
T000596,02-01-2026 11:34,Email,Access & Login,SSO Setup,P3,A010,02-01-2026 14:33,,Open,Customer,SLA_P3,179,,TRUE,FALSE
T000597,26-01-2026 23:39,Email,Access & Login,Password Reset,P3,A008,27-01-2026 02:14,,Pending,Customer,SLA_P3,155,,TRUE,FALSE
T000598,04-01-2026 11:50,Web,Bug,UI Bug,P4,A005,04-01-2026 20:18,06-01-2026 19:30,Resolved,Customer,SLA_P4,508,3340,FALSE,TRUE
T000599,18-01-2026 08:23,Chat,Outage,Partial Degradation,P2,A007,18-01-2026 08:59,18-01-2026 18:15,Resolved,Internal,SLA_P2,36,592,TRUE,TRUE
T000600,25-01-2026 14:30,Email,Access & Login,Password Reset,P2,A015,25-01-2026 15:26,,Pending,Customer,SLA_P2,56,,TRUE,FALSE
T000601,18-12-2025 03:00,Email,Outage,Service Down,P2,A007,18-12-2025 03:44,18-12-2025 15:17,Resolved,Partner,SLA_P2,44,737,TRUE,FALSE
T000602,19-12-2025 05:15,Email,Access & Login,Password Reset,P3,A007,19-12-2025 09:20,,Open,Customer,SLA_P3,245,,FALSE,FALSE
T000603,12-01-2026 19:56,Email,Outage,Service Down,P2,A007,12-01-2026 20:37,13-01-2026 05:58,Resolved,Internal,SLA_P2,41,602,TRUE,TRUE
T000604,07-01-2026 17:45,Email,Access & Login,Password Reset,P3,A002,07-01-2026 20:55,08-01-2026 08:08,Resolved,Customer,SLA_P3,190,863,TRUE,TRUE
T000605,02-01-2026 08:33,Chat,Access & Login,SSO Setup,P3,A013,02-01-2026 11:13,03-01-2026 18:00,Resolved,Customer,SLA_P3,160,2007,TRUE,TRUE
T000606,10-01-2026 16:19,Web,Bug,Integration Error,P3,A008,10-01-2026 20:06,12-01-2026 01:51,Resolved,Customer,SLA_P3,227,2012,TRUE,TRUE
T000607,26-12-2025 15:21,Web,Access & Login,SSO Setup,P4,A005,26-12-2025 22:11,31-12-2025 22:17,Resolved,Customer,SLA_P4,410,7616,TRUE,FALSE
T000608,23-01-2026 10:31,Phone,Billing,Payment Failed,P4,A014,23-01-2026 16:06,24-01-2026 07:56,Resolved,Internal,SLA_P4,335,1285,TRUE,TRUE
T000609,18-01-2026 15:22,Web,Outage,Service Down,P1,A006,18-01-2026 15:46,18-01-2026 18:54,Resolved,Customer,SLA_P1,24,212,TRUE,TRUE
T000610,04-02-2026 09:29,Chat,Bug,UI Bug,P4,A006,04-02-2026 14:05,06-02-2026 03:52,Resolved,Customer,SLA_P4,276,2543,TRUE,TRUE
T000611,24-01-2026 02:09,Email,Access & Login,SSO Setup,P4,A009,24-01-2026 06:45,,Pending,Customer,SLA_P4,276,,TRUE,FALSE
T000612,17-12-2025 06:13,Email,Billing,Payment Failed,P3,A015,17-12-2025 10:00,19-12-2025 00:11,Resolved,Customer,SLA_P3,227,2518,TRUE,TRUE
T000613,30-12-2025 01:18,Email,Outage,Service Down,P2,A007,30-12-2025 02:17,30-12-2025 11:37,Resolved,Customer,SLA_P2,59,619,TRUE,TRUE
T000614,05-01-2026 01:09,Email,Bug,UI Bug,P4,A012,05-01-2026 03:40,07-01-2026 15:44,Resolved,Customer,SLA_P4,151,3755,TRUE,TRUE
T000615,10-01-2026 06:23,Email,Billing,Invoice Request,P4,A012,10-01-2026 11:13,12-01-2026 14:37,Resolved,Customer,SLA_P4,290,3374,TRUE,TRUE
T000616,05-02-2026 11:59,Email,Bug,Data Mismatch,P3,A006,05-02-2026 12:54,08-02-2026 04:21,Resolved,Internal,SLA_P3,55,3862,TRUE,FALSE
T000617,19-12-2025 03:57,Email,How-To,Feature Guidance,P4,A010,19-12-2025 09:17,23-12-2025 05:17,Resolved,Partner,SLA_P4,320,5840,TRUE,FALSE
T000618,03-01-2026 15:55,Email,Bug,Data Mismatch,P2,A013,03-01-2026 16:28,04-01-2026 01:04,Resolved,Internal,SLA_P2,33,549,TRUE,TRUE
T000619,23-12-2025 12:44,Email,How-To,Report Setup,P3,A005,23-12-2025 19:08,25-12-2025 23:42,Resolved,Internal,SLA_P3,384,3538,FALSE,FALSE
T000620,15-01-2026 06:14,Email,Access & Login,SSO Setup,P4,A004,15-01-2026 09:35,18-01-2026 19:34,Resolved,Customer,SLA_P4,201,5120,TRUE,TRUE
T000621,28-12-2025 03:31,Email,Access & Login,Password Reset,P3,A003,28-12-2025 07:04,29-12-2025 01:47,Resolved,Internal,SLA_P3,213,1336,TRUE,TRUE
T000622,02-02-2026 13:08,Chat,Bug,Integration Error,P3,A005,02-02-2026 14:52,04-02-2026 07:45,Resolved,Customer,SLA_P3,104,2557,TRUE,TRUE
T000623,03-01-2026 13:00,Email,Access & Login,Password Reset,P4,A009,03-01-2026 15:47,06-01-2026 23:03,Resolved,Customer,SLA_P4,167,4923,TRUE,TRUE
T000624,14-01-2026 03:31,Email,Billing,Payment Failed,P3,A011,14-01-2026 08:22,16-01-2026 04:09,Resolved,Internal,SLA_P3,291,2918,FALSE,FALSE
T000625,27-01-2026 15:19,Email,Billing,Payment Failed,P4,A008,27-01-2026 21:13,31-01-2026 08:49,Resolved,Customer,SLA_P4,354,5370,TRUE,TRUE
T000626,08-02-2026 10:10,Phone,Bug,Integration Error,P3,A001,08-02-2026 12:24,09-02-2026 08:33,Resolved,Partner,SLA_P3,134,1343,TRUE,TRUE
T000627,10-01-2026 13:47,Email,Access & Login,Password Reset,P3,A015,10-01-2026 16:45,13-01-2026 01:05,Resolved,Internal,SLA_P3,178,3558,TRUE,FALSE
T000628,15-12-2025 02:43,Web,How-To,API Usage,P4,A012,15-12-2025 07:33,18-12-2025 08:24,Resolved,Customer,SLA_P4,290,4661,TRUE,TRUE
T000629,16-01-2026 05:51,Chat,Outage,Latency,P1,A008,16-01-2026 06:05,,Pending,Customer,SLA_P1,14,,TRUE,FALSE
T000630,21-01-2026 21:33,Email,Access & Login,Password Reset,P4,A003,22-01-2026 03:58,24-01-2026 23:22,Resolved,Customer,SLA_P4,385,4429,TRUE,TRUE
T000631,31-01-2026 18:27,Chat,Outage,Partial Degradation,P2,A004,31-01-2026 19:02,31-01-2026 23:54,Resolved,Customer,SLA_P2,35,327,TRUE,TRUE
T000632,15-01-2026 12:52,Web,Access & Login,MFA Issue,P3,A015,15-01-2026 16:06,17-01-2026 01:08,Resolved,Customer,SLA_P3,194,2176,TRUE,TRUE
T000633,05-01-2026 23:15,Email,How-To,Feature Guidance,P4,A005,06-01-2026 09:26,08-01-2026 03:55,Resolved,Customer,SLA_P4,611,3160,FALSE,TRUE
T000634,05-01-2026 06:47,Web,Access & Login,Password Reset,P3,A013,05-01-2026 10:09,07-01-2026 18:56,Resolved,Customer,SLA_P3,202,3609,TRUE,FALSE
T000635,25-12-2025 06:32,Web,Access & Login,MFA Issue,P4,A007,25-12-2025 15:42,27-12-2025 14:31,Resolved,Customer,SLA_P4,550,3359,FALSE,TRUE
T000636,20-12-2025 05:56,Email,Outage,Latency,P1,A008,20-12-2025 06:09,20-12-2025 11:05,Resolved,Customer,SLA_P1,13,309,TRUE,FALSE
T000637,26-12-2025 13:32,Email,How-To,Report Setup,P4,A005,26-12-2025 20:27,31-12-2025 00:34,Resolved,Customer,SLA_P4,415,6422,TRUE,FALSE
T000638,12-01-2026 12:59,Chat,How-To,API Usage,P4,A007,12-01-2026 20:12,,In Progress,Customer,SLA_P4,433,,TRUE,FALSE
T000639,01-01-2026 20:56,Chat,Bug,UI Bug,P3,A009,02-01-2026 00:45,02-01-2026 00:50,Resolved,Customer,SLA_P3,229,234,TRUE,TRUE
T000640,23-12-2025 01:31,Email,Billing,Refund,P3,A004,23-12-2025 04:28,25-12-2025 06:23,Resolved,Customer,SLA_P3,177,3172,TRUE,FALSE
T000641,23-01-2026 17:24,Chat,Outage,Service Down,P1,A006,23-01-2026 17:37,23-01-2026 18:19,Resolved,Customer,SLA_P1,13,55,TRUE,TRUE
T000642,20-01-2026 23:38,Email,How-To,Feature Guidance,P3,A013,21-01-2026 02:37,21-01-2026 15:41,Resolved,Customer,SLA_P3,179,963,TRUE,TRUE
T000643,16-12-2025 03:00,Email,How-To,Report Setup,P4,A013,16-12-2025 11:43,19-12-2025 06:04,Resolved,Partner,SLA_P4,523,4504,FALSE,TRUE
T000644,10-02-2026 04:05,Chat,Bug,Integration Error,P3,A009,10-02-2026 07:49,11-02-2026 23:19,Resolved,Partner,SLA_P3,224,2594,TRUE,TRUE
T000645,13-01-2026 08:55,Chat,Bug,UI Bug,P4,A010,13-01-2026 14:44,16-01-2026 18:19,Resolved,Customer,SLA_P4,349,4884,TRUE,TRUE
T000646,11-02-2026 22:07,Email,Outage,Latency,P2,A007,11-02-2026 22:56,12-02-2026 03:20,Resolved,Internal,SLA_P2,49,313,TRUE,TRUE
T000647,17-01-2026 09:26,Chat,How-To,API Usage,P4,A005,17-01-2026 14:16,21-01-2026 14:04,Resolved,Customer,SLA_P4,290,6038,TRUE,FALSE
T000648,20-12-2025 00:51,Chat,Bug,Integration Error,P3,A009,20-12-2025 00:52,21-12-2025 05:06,Resolved,Customer,SLA_P3,1,1695,TRUE,TRUE
T000649,22-01-2026 11:58,Chat,Access & Login,MFA Issue,P3,A005,22-01-2026 13:33,,Open,Internal,SLA_P3,95,,TRUE,FALSE
T000650,09-01-2026 03:18,Email,Access & Login,SSO Setup,P3,A003,09-01-2026 06:44,11-01-2026 02:32,Resolved,Customer,SLA_P3,206,2834,TRUE,TRUE
T000651,07-01-2026 11:41,Chat,Bug,Integration Error,P3,A002,07-01-2026 13:39,08-01-2026 21:01,Resolved,Customer,SLA_P3,118,2000,TRUE,TRUE
T000652,28-01-2026 00:17,Email,Access & Login,MFA Issue,P4,A012,28-01-2026 05:56,29-01-2026 01:52,Resolved,Customer,SLA_P4,339,1535,TRUE,TRUE
T000653,31-01-2026 23:13,Email,Access & Login,Password Reset,P4,A004,01-02-2026 05:07,04-02-2026 02:27,Resolved,Customer,SLA_P4,354,4514,TRUE,TRUE
T000654,25-01-2026 13:40,Chat,Billing,Payment Failed,P3,A004,25-01-2026 16:27,27-01-2026 08:30,Resolved,Internal,SLA_P3,167,2570,TRUE,TRUE
T000655,14-01-2026 22:52,Phone,How-To,Feature Guidance,P3,A006,14-01-2026 23:54,,Open,Customer,SLA_P3,62,,TRUE,FALSE
T000656,22-01-2026 13:03,Phone,Bug,UI Bug,P2,A004,22-01-2026 13:13,23-01-2026 03:21,Resolved,Internal,SLA_P2,10,858,TRUE,FALSE
T000657,16-01-2026 01:33,Web,Access & Login,MFA Issue,P2,A013,16-01-2026 02:03,16-01-2026 11:59,Resolved,Internal,SLA_P2,30,626,TRUE,TRUE
T000658,20-12-2025 08:38,Web,Access & Login,MFA Issue,P4,A009,20-12-2025 16:05,22-12-2025 22:41,Resolved,Internal,SLA_P4,447,3723,TRUE,TRUE
T000659,30-01-2026 08:03,Email,How-To,Report Setup,P3,A015,30-01-2026 10:28,,Open,Customer,SLA_P3,145,,TRUE,FALSE
T000660,24-01-2026 08:01,Phone,How-To,API Usage,P4,A007,24-01-2026 13:11,26-01-2026 19:06,Resolved,Internal,SLA_P4,310,3545,TRUE,TRUE
T000661,07-02-2026 09:05,Chat,Access & Login,MFA Issue,P4,A015,07-02-2026 15:12,10-02-2026 05:00,Resolved,Internal,SLA_P4,367,4075,TRUE,TRUE
T000662,29-12-2025 06:51,Chat,How-To,API Usage,P4,A008,29-12-2025 10:11,30-12-2025 17:19,Resolved,Internal,SLA_P4,200,2068,TRUE,TRUE
T000663,19-12-2025 01:24,Web,Billing,Invoice Request,P4,A012,19-12-2025 08:59,25-12-2025 14:15,Resolved,Customer,SLA_P4,455,9411,TRUE,FALSE
T000664,28-01-2026 22:46,Email,Access & Login,MFA Issue,P4,A006,29-01-2026 06:48,29-01-2026 12:48,Resolved,Customer,SLA_P4,482,842,FALSE,TRUE
T000665,28-01-2026 16:17,Email,Billing,Payment Failed,P4,A012,28-01-2026 22:15,28-01-2026 22:20,Resolved,Customer,SLA_P4,358,363,TRUE,TRUE
T000666,03-01-2026 07:33,Email,Bug,UI Bug,P4,A014,03-01-2026 17:13,07-01-2026 17:07,Resolved,Customer,SLA_P4,580,6334,FALSE,FALSE
T000667,20-12-2025 06:10,Web,How-To,API Usage,P4,A014,20-12-2025 09:45,24-12-2025 11:38,Resolved,Customer,SLA_P4,215,6088,TRUE,FALSE
T000668,21-12-2025 23:26,Email,How-To,API Usage,P4,A010,22-12-2025 06:13,25-12-2025 05:07,Resolved,Customer,SLA_P4,407,4661,TRUE,TRUE
T000669,15-01-2026 03:54,Email,How-To,API Usage,P4,A009,15-01-2026 08:32,18-01-2026 18:22,Resolved,Customer,SLA_P4,278,5188,TRUE,TRUE
T000670,06-01-2026 00:59,Phone,Access & Login,Password Reset,P4,A008,06-01-2026 05:59,08-01-2026 09:16,Resolved,Customer,SLA_P4,300,3377,TRUE,TRUE
T000671,26-01-2026 23:49,Email,Bug,Data Mismatch,P4,A011,27-01-2026 02:10,31-01-2026 22:05,Resolved,Customer,SLA_P4,141,7096,TRUE,FALSE
T000672,13-01-2026 18:24,Chat,Bug,UI Bug,P4,A006,14-01-2026 00:35,18-01-2026 23:44,Resolved,Customer,SLA_P4,371,7520,TRUE,FALSE
T000673,24-01-2026 06:09,Chat,How-To,API Usage,P4,A008,24-01-2026 12:12,26-01-2026 14:47,Resolved,Customer,SLA_P4,363,3398,TRUE,TRUE
T000674,20-01-2026 18:10,Chat,How-To,Report Setup,P4,A014,20-01-2026 18:11,23-01-2026 14:13,Resolved,Customer,SLA_P4,1,4083,TRUE,TRUE
T000675,28-12-2025 04:02,Web,Billing,Refund,P4,A001,28-12-2025 11:37,31-12-2025 13:49,Resolved,Customer,SLA_P4,455,4907,TRUE,TRUE
T000676,09-02-2026 03:41,Chat,Bug,UI Bug,P4,A015,09-02-2026 10:53,09-02-2026 17:36,Resolved,Customer,SLA_P4,432,835,TRUE,TRUE
T000677,24-01-2026 09:09,Email,Bug,Data Mismatch,P2,A005,24-01-2026 10:01,24-01-2026 22:07,Resolved,Customer,SLA_P2,52,778,TRUE,FALSE
T000678,16-01-2026 17:59,Email,Billing,Refund,P3,A004,16-01-2026 21:53,17-01-2026 01:14,Resolved,Customer,SLA_P3,234,435,TRUE,TRUE
T000679,28-12-2025 09:50,Email,Access & Login,SSO Setup,P2,A013,28-12-2025 10:53,28-12-2025 15:54,Resolved,Customer,SLA_P2,63,364,FALSE,TRUE
T000680,16-01-2026 03:20,Email,Access & Login,SSO Setup,P4,A007,16-01-2026 08:04,,Open,Internal,SLA_P4,284,,TRUE,FALSE
T000681,15-01-2026 18:00,Phone,How-To,Feature Guidance,P4,A010,15-01-2026 23:25,17-01-2026 17:17,Resolved,Customer,SLA_P4,325,2837,TRUE,TRUE
T000682,18-01-2026 00:50,Chat,Billing,Invoice Request,P3,A010,18-01-2026 02:56,18-01-2026 05:09,Resolved,Customer,SLA_P3,126,259,TRUE,TRUE
T000683,31-01-2026 21:01,Chat,How-To,API Usage,P4,A005,01-02-2026 00:17,05-02-2026 00:19,Resolved,Customer,SLA_P4,196,5958,TRUE,FALSE
T000684,22-01-2026 15:06,Email,Billing,Payment Failed,P3,A009,22-01-2026 17:50,24-01-2026 10:47,Resolved,Partner,SLA_P3,164,2621,TRUE,TRUE
T000685,29-12-2025 23:02,Email,How-To,Report Setup,P4,A011,30-12-2025 04:22,,Open,Customer,SLA_P4,320,,TRUE,FALSE
T000686,25-12-2025 01:51,Chat,How-To,Report Setup,P4,A004,25-12-2025 08:16,26-12-2025 20:50,Resolved,Customer,SLA_P4,385,2579,TRUE,TRUE
T000687,11-01-2026 08:15,Chat,Access & Login,MFA Issue,P3,A011,11-01-2026 10:48,12-01-2026 12:34,Resolved,Customer,SLA_P3,153,1699,TRUE,TRUE
T000688,24-12-2025 11:56,Chat,How-To,Report Setup,P3,A006,24-12-2025 14:33,,Pending,Customer,SLA_P3,157,,TRUE,FALSE
T000689,21-01-2026 06:02,Web,Billing,Payment Failed,P3,A012,21-01-2026 08:43,22-01-2026 21:00,Resolved,Partner,SLA_P3,161,2338,TRUE,TRUE
T000690,23-12-2025 02:21,Phone,How-To,Feature Guidance,P4,A009,23-12-2025 06:28,26-12-2025 11:08,Resolved,Customer,SLA_P4,247,4847,TRUE,TRUE
T000691,17-12-2025 13:31,Email,Outage,Latency,P2,A014,17-12-2025 14:15,18-12-2025 04:37,Resolved,Customer,SLA_P2,44,906,TRUE,FALSE
T000692,18-12-2025 19:02,Phone,Access & Login,SSO Setup,P3,A009,18-12-2025 20:29,18-12-2025 20:34,Resolved,Customer,SLA_P3,87,92,TRUE,TRUE
T000693,24-12-2025 09:15,Web,How-To,Feature Guidance,P4,A012,24-12-2025 16:13,27-12-2025 14:57,Resolved,Internal,SLA_P4,418,4662,TRUE,TRUE
T000694,27-01-2026 02:27,Email,How-To,Report Setup,P4,A007,27-01-2026 07:41,29-01-2026 22:50,Resolved,Internal,SLA_P4,314,4103,TRUE,TRUE
T000695,11-02-2026 17:43,Phone,Access & Login,SSO Setup,P4,A002,11-02-2026 21:25,14-02-2026 20:49,Resolved,Internal,SLA_P4,222,4506,TRUE,TRUE
T000696,30-12-2025 13:45,Email,How-To,Report Setup,P4,A003,30-12-2025 23:15,03-01-2026 01:24,Resolved,Partner,SLA_P4,570,5019,FALSE,TRUE
T000697,01-01-2026 01:46,Email,Outage,Partial Degradation,P2,A008,01-01-2026 02:33,01-01-2026 19:29,Resolved,Internal,SLA_P2,47,1063,TRUE,FALSE
T000698,10-01-2026 02:25,Email,How-To,Feature Guidance,P3,A004,10-01-2026 06:01,11-01-2026 15:39,Resolved,Customer,SLA_P3,216,2234,TRUE,TRUE
T000699,16-12-2025 15:50,Phone,Bug,Integration Error,P3,A007,16-12-2025 17:40,19-12-2025 02:33,Resolved,Internal,SLA_P3,110,3523,TRUE,FALSE
T000700,02-01-2026 11:34,Email,Access & Login,MFA Issue,P4,A002,02-01-2026 17:55,06-01-2026 02:13,Resolved,Customer,SLA_P4,381,5199,TRUE,TRUE
T000701,18-12-2025 00:29,Chat,Billing,Payment Failed,P4,A002,18-12-2025 06:53,20-12-2025 16:12,Resolved,Customer,SLA_P4,384,3823,TRUE,TRUE
T000702,23-01-2026 16:07,Email,Bug,UI Bug,P3,A013,23-01-2026 20:00,24-01-2026 16:07,Resolved,Internal,SLA_P3,233,1440,TRUE,TRUE
T000703,04-01-2026 22:01,Chat,Outage,Partial Degradation,P1,A006,04-01-2026 22:15,05-01-2026 00:08,Resolved,Customer,SLA_P1,14,127,TRUE,TRUE
T000704,16-01-2026 03:23,Email,How-To,Feature Guidance,P4,A014,16-01-2026 12:43,18-01-2026 23:15,Resolved,Internal,SLA_P4,560,4072,FALSE,TRUE
T000705,11-02-2026 00:06,Chat,Billing,Refund,P4,A004,11-02-2026 05:49,13-02-2026 13:39,Resolved,Customer,SLA_P4,343,3693,TRUE,TRUE
